Name,Population,Median_Age,Household_Income,Per_Capita_Income,Poverty_Count,Poverty_Rate,Unemployment_Rate,County,State
"Burke County, Georgia",22520.0,37.4,44151.0,22173.0,4928.0,21.88277087033748,1.8916518650088807,Burke, Georgia
"Catoosa County, Georgia",66700.0,40.4,56235.0,27308.0,6516.0,9.76911544227886,2.0374812593703147,Catoosa, Georgia
"Chattahoochee County, Georgia",10560.0,24.5,47096.0,23769.0,1418.0,13.428030303030305,2.6704545454545454,Chattahoochee, Georgia
"Chattooga County, Georgia",24812.0,39.4,36807.0,18715.0,4415.0,17.793809447041756,2.1884571981299366,Chattooga, Georgia
"Columbia County, Georgia",150705.0,36.9,82339.0,34579.0,11173.0,7.413821704654789,2.1704654789157627,Columbia, Georgia
"Decatur County, Georgia",26682.0,37.8,41481.0,21568.0,6203.0,23.247882467581142,2.1212802638482877,Decatur, Georgia
"Floyd County, Georgia",97369.0,38.3,48336.0,25776.0,17122.0,17.5846521993653,2.4494448951925154,Floyd, Georgia
"Forsyth County, Georgia",228383.0,38.5,107218.0,43832.0,12937.0,5.664607260610466,1.691019033816002,Forsyth, Georgia
"Habersham County, Georgia",44626.0,39.7,50563.0,23046.0,6381.0,14.298839241697664,1.335544301528257,Habersham, Georgia
"Hart County, Georgia",25773.0,44.1,43204.0,23181.0,3750.0,14.550110580840414,2.2775773095875533,Hart, Georgia
"Lowndes County, Georgia",115364.0,30.5,42441.0,23348.0,27120.0,23.508200131756873,2.8934502964529663,Lowndes, Georgia
"McIntosh County, Georgia",14174.0,49.4,49504.0,26892.0,2465.0,17.39099760124171,2.751516861859743,McIntosh, Georgia
"Meriwether County, Georgia",21106.0,42.3,37121.0,21038.0,4806.0,22.77077608263053,2.511134274613854,Meriwether, Georgia
"Monroe County, Georgia",27171.0,42.9,54754.0,33290.0,3625.0,13.341430201317582,3.1283353575503283,Monroe, Georgia
"Putnam County, Georgia",21691.0,46.2,51606.0,31504.0,3449.0,15.900603937116776,1.9040154902955144,Putnam, Georgia
"Sumter County, Georgia",30064.0,35.7,36681.0,20654.0,7567.0,25.1696381053752,3.642229909526344,Sumter, Georgia
"Taliaferro County, Georgia",1611.0,44.2,37446.0,21416.0,340.0,21.104903786468032,2.9174425822470518,Taliaferro, Georgia
"Warren County, Georgia",5297.0,45.1,37203.0,23448.0,1402.0,26.46781196903908,2.0200113271663205,Warren, Georgia
"Wayne County, Iowa",6429.0,43.2,44768.0,25628.0,1086.0,16.892207186187587,0.7466168922071862,Wayne, Iowa
"Scott County, Iowa",172446.0,38.3,61183.0,33643.0,20389.0,11.823411386752955,1.961773540702597,Scott, Iowa
"Sherman County, Kansas",5938.0,39.3,54754.0,27919.0,660.0,11.114853486022232,1.8187942068036376,Sherman, Kansas
"Thomas County, Kansas",7810.0,36.0,60124.0,30442.0,883.0,11.306017925736235,1.2291933418693979,Thomas, Kansas
"Morris County, Kansas",5566.0,46.6,55658.0,29558.0,493.0,8.857348185411428,1.203736974487963,Morris, Kansas
