fips_code,population,median_age,household_income,per_capita_income,poverty_count,poverty_rate,unemployment_rate
1053,37057.0,40.0,36275.0,19028.0,7551.0,20.376716949564184,4.261003319210944
1055,102748.0,41.4,44637.0,24883.0,17625.0,17.15361856191848,2.4321641297154204
1057,16494.0,43.7,39856.0,22483.0,3146.0,19.07360252212926,2.600945798472172
1059,31466.0,38.6,43514.0,21641.0,6007.0,19.090446831500667,2.0371194304964093
1061,26417.0,43.2,41732.0,21711.0,5743.0,21.73978877238142,2.2296248627777566
1063,8324.0,40.9,24145.0,14884.0,3140.0,37.72224891878904,3.73618452666987
1065,14809.0,40.5,34046.0,21191.0,3522.0,23.782834762644335,4.402728070767776
1067,17133.0,44.4,50017.0,25276.0,2316.0,13.517772719313605,2.527286523084107
1069,104702.0,40.1,47580.0,27097.0,18885.0,18.036904739164484,2.9063437183625913
1071,51852.0,43.1,41769.0,22596.0,9536.0,18.39080459770115,2.1233510761397825
1073,659680.0,37.7,53901.0,32098.0,103417.0,15.67684331797235,3.1995816153286443
1075,13885.0,44.8,38364.0,22636.0,2827.0,20.360100828231907,3.665826431400792
1077,92556.0,41.0,48094.0,28033.0,13175.0,14.234625524007086,2.1532909805955307
1079,33058.0,42.4,44886.0,23450.0,5906.0,17.865569604936773,2.0932905801923893
1081,161152.0,31.9,51463.0,27860.0,30423.0,18.87845015885624,2.5311507148530583
1083,94727.0,39.7,59686.0,28411.0,12436.0,13.128252768482056,2.8471291184139687
1085,10079.0,42.0,30036.0,20209.0,2664.0,26.431193570790754,3.7404504415120554
1087,18708.0,38.6,33370.0,20419.0,3995.0,21.354500748342954,4.826812059012188
1089,362276.0,38.5,65449.0,36620.0,44038.0,12.155925316609435,2.577592774569665
1091,19321.0,42.2,33241.0,25635.0,4174.0,21.60343667512033,3.0381450235495056
1093,29866.0,44.3,35930.0,21311.0,5137.0,17.200160717873167,2.290229692627068
1095,95643.0,38.8,45983.0,24453.0,19147.0,20.019238208755475,1.8286753865938958
1097,414114.0,37.9,47583.0,25861.0,76275.0,18.418841188658195,2.6099093486334684
1099,21270.0,43.3,30441.0,20527.0,5869.0,27.592853784673252,5.510108133521391
1101,226941.0,36.4,50124.0,29071.0,42442.0,18.701777113875405,3.1369386756910385
1103,119213.0,40.6,52156.0,27367.0,17126.0,14.36588291545385,2.3302827711742853
1105,9293.0,36.9,23447.0,15055.0,2612.0,28.107177445389,3.1206284300010765
1107,20243.0,42.2,39848.0,23024.0,4204.0,20.76767277577434,3.9618633601738873
1109,33333.0,31.2,37446.0,22453.0,7701.0,23.10323103231032,2.7450274502745025
1111,22647.0,43.4,43395.0,24721.0,3748.0,16.549653375723054,1.6779264361725614
1113,57952.0,36.3,42443.0,23470.0,11775.0,20.318539480949756,2.804044726670348
1115,87989.0,40.3,58308.0,26409.0,10484.0,11.91512575435566,2.4673538737796767
1117,213432.0,39.3,77799.0,38549.0,15742.0,7.375651261291653,1.8802241463323213
1119,12797.0,35.6,24320.0,16799.0,3782.0,29.553801672266943,3.6102211455809954
1121,80387.0,41.3,41325.0,23305.0,14653.0,18.22807170313608,3.5988406085561095
1123,40541.0,44.7,45828.0,25217.0,7546.0,18.613255716435205,4.084753706124664
1125,207305.0,33.0,53326.0,26789.0,34749.0,16.762258507995465,2.7891271315211887
1127,64110.0,42.1,43629.0,23882.0,11440.0,17.844330057713304,3.4768366869443144
1129,16541.0,43.7,41370.0,26752.0,3451.0,20.863309352517987,2.6419200773834715
1131,10681.0,40.5,31014.0,16841.0,3111.0,29.1264862840558,5.065068813781481
1133,23784.0,45.2,35788.0,22952.0,4127.0,17.352001345442314,3.0146316851664983
4001,71511.0,35.0,32508.0,15128.0,24963.0,34.90791626463061,3.033099802827537
4003,125867.0,41.1,49260.0,26819.0,19476.0,15.473475970667453,2.3516886872651286
4005,141274.0,30.7,59460.0,27339.0,22539.0,15.95410337358608,3.887481065164149
4007,53546.0,50.2,43524.0,24251.0,11367.0,21.228476450155007,3.3634631905277703
4009,37996.0,33.6,51353.0,18683.0,7679.0,20.210022107590273,3.1266449099905254
4011,9522.0,34.5,63473.0,25780.0,1250.0,13.12749422390254,2.4469649233354342
4012,20793.0,56.5,34643.0,22879.0,4592.0,22.084355311883808,2.895205117106719
4013,4328810.0,36.4,64468.0,33279.0,588350.0,13.591495122216037,2.531989160993437
4015,207695.0,51.6,45587.0,26166.0,33364.0,16.06393991189003,3.070367606345844
4017,109270.0,37.3,40067.0,18935.0,29663.0,27.14651779994509,4.438546719136085
4019,1027207.0,38.5,53379.0,29707.0,167823.0,16.337797542267527,3.249296393034705
4021,432793.0,39.3,58174.0,24959.0,53276.0,12.30981092577745,2.7830856783728017
4023,46480.0,36.7,41259.0,21480.0,10729.0,23.08304647160069,3.06368330464716
4025,228067.0,53.4,52451.0,30341.0,29085.0,12.752831404806482,2.351940438555337
4027,209468.0,34.6,45243.0,21758.0,39608.0,18.908854813145684,4.018752267649473
5001,17914.0,40.7,46696.0,26386.0,3041.0,16.975549849279894,2.712961929217372
5003,20270.0,41.7,44744.0,23391.0,3347.0,16.512086827824373,2.200296003946719
5005,41427.0,52.2,42260.0,26863.0,5360.0,12.938421802206289,1.8659328457286308
5007,265759.0,35.4,66362.0,34442.0,24767.0,9.319345723004677,1.2131291884752726
5009,37331.0,42.3,45374.0,24727.0,5369.0,14.38214888430527,2.0626289143071443
5011,10874.0,40.6,43184.0,22945.0,2211.0,20.33290417509656,3.080743056832812
5013,5192.0,44.5,46417.0,23688.0,680.0,13.097072419106315,1.8682588597842835
5015,27965.0,45.0,46110.0,25295.0,4096.0,14.646880028607187,1.6341855891292687
5017,10615.0,43.3,34147.0,20232.0,2872.0,27.05605275553462,3.3820065944418274
5019,22386.0,33.7,41620.0,21337.0,4017.0,17.94425087108014,0.9604216921290092
5021,14889.0,42.8,37233.0,22505.0,3106.0,20.86103835046007,2.3372959903284305
5023,25100.0,49.4,44483.0,27227.0,3452.0,13.752988047808767,1.8525896414342629
5025,8128.0,42.9,46684.0,24225.0,1475.0,18.147145669291337,2.18996062992126
5027,23776.0,35.7,36193.0,21189.0,5482.0,23.056864064602962,4.584454912516824
5029,20858.0,42.5,42802.0,25158.0,3649.0,17.494486527950905,3.0779557004506666
5031,107345.0,34.2,47286.0,26948.0,17130.0,15.957892775629976,3.0648842517117703
5033,62739.0,38.6,46828.0,24547.0,10609.0,16.90973716508073,1.9780359903728144
5035,48672.0,35.2,40161.0,23172.0,10655.0,21.891436554898085,4.0844838921762
5037,16824.0,40.9,46787.0,25380.0,2555.0,15.186638135996196,2.9362815026153117
5039,7279.0,43.9,38072.0,20517.0,955.0,13.119934056875945,1.4012913861794205
5041,11709.0,40.1,31893.0,19235.0,3363.0,28.721496284909048,3.46741822529678
5043,18417.0,37.4,46997.0,25543.0,3268.0,17.744475213118317,1.7320953466905575
5045,123624.0,32.8,52827.0,26913.0,19778.0,15.998511615867471,1.8434931728466963
5047,17738.0,41.2,38923.0,20480.0,4005.0,22.578644717555534,1.1951742022775962
5049,12231.0,48.4,35405.0,19697.0,2491.0,20.36628239718748,2.0031068596190007
5051,98555.0,45.0,44777.0,27171.0,18032.0,18.296382730455075,2.4270711785297547
5053,18126.0,41.0,55388.0,28153.0,2596.0,14.321968443120381,1.7378351539225425
5055,44937.0,38.0,47056.0,23494.0,7246.0,16.12479693793533,3.449273427242584
5057,21842.0,40.4,42860.0,21521.0,4892.0,22.397216372127094,2.0373592161889937
5059,33597.0,41.3,43889.0,21866.0,5658.0,16.840789356192516,2.5031996904485516
5061,13311.0,39.2,36059.0,24481.0,2539.0,19.07444970325295,3.0801592667718434
5063,37427.0,39.3,44319.0,23733.0,6049.0,16.162128944344992,2.1107756432521976
5065,13570.0,47.9,42876.0,21164.0,1906.0,14.045689019896832,3.2866617538688283
